CoC,Count,"Sheltered ES Homeless, 2010","Sheltered TH Homeless, 2010","Sheltered SH Homeless, 2010","Sheltered Total Homeless, 2010","Unsheltered Homeless, 2010","Overall Homeless Individuals, 2010","Sheltered ES Homeless Individuals, 2010","Sheltered TH Homeless Individuals, 2010","Sheltered SH Homeless Individuals, 2010","Sheltered Total Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Overall Homeless People in Families, 2010","Sheltered ES Homeless People in Families, 2010","Sheltered TH Homeless People in Families, 2010","Sheltered Total Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Overall Homeless Family Households, 2010","Sheltered ES Homeless Family Households, 2010","Sheltered TH Homeless Family Households, 2010","Sheltered Total Homeless Family Households, 2010","Unsheltered Homeless Family Households, 2010","Sheltered SH Chronically Homeless, 2010","Overall Chronically Homeless Individuals, 2010","Sheltered ES Chronically Homeless Individuals, 2010","Sheltered SH Chronically Homeless Individuals, 2010","Sheltered Total Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
CA-614,3829,173,69,0,242,"3,587","1,547",49,28,0,77,"1,470","2,282",124,41,165,"2,117",673,28,10,38,635,0,201,7,0,7,194
CO-500,5267,679,408,0,"1,087","4,180","1,324",221,58,0,279,"1,045","3,943",458,350,808,"3,135",986,114,88,202,784,0,259,11,0,11,248
CO-503,8752,"3,794","3,259",0,"7,053","1,699","5,081","2,490","1,163",0,"3,653","1,428","3,671","1,304","2,096","3,400",271,"1,156",411,660,"1,071",85,0,839,404,0,404,435
CO-504,1463,422,469,0,891,572,"1,169",372,272,0,644,525,294,50,197,247,47,92,16,64,80,12,0,334,95,0,95,239
CT-503,944,511,328,0,839,105,653,367,190,0,557,96,291,144,138,282,9,94,46,44,90,4,0,200,154,0,154,46
CT-505,3372,"1,803","1,175",0,"2,978",394,"2,340","1,268",686,0,"1,954",386,"1,032",535,489,"1,024",8,353,179,171,350,3,0,577,441,0,441,136
DC-500,6539,"3,584","2,512",13,"6,109",430,"4,016","2,593",980,13,"3,586",430,"2,523",991,"1,532","2,523",0,800,318,482,800,0,13,"2,110","1,710",13,"1,723",387
DE-500,982,481,439,10,930,52,681,358,261,10,629,52,301,123,178,301,0,111,50,61,111,0,7,97,64,7,71,26
FL-500,1999,181,167,0,348,"1,651","1,201",97,96,0,193,"1,008",798,84,71,155,643,231,26,29,55,176,0,125,27,0,27,98
FL-501,7473,321,405,0,726,"6,747","4,107",236,262,0,498,"3,609","3,366",85,143,228,"3,138","1,201",30,50,80,"1,121",0,598,210,0,210,388
FL-502,3948,889,857,45,"1,791","2,157","3,463",730,577,45,"1,352","2,111",485,159,280,439,46,188,69,100,169,19,45,577,163,45,208,369
FL-503,820,197,246,0,443,377,694,161,194,0,355,339,126,36,52,88,38,37,10,16,26,11,0,83,35,0,35,48
FL-504,2155,100,603,0,703,"1,452","1,677",61,164,0,225,"1,452",478,39,439,478,0,151,11,140,151,0,0,173,0,0,0,173
FL-505,2262,273,198,0,471,"1,791","1,248",205,170,0,375,873,"1,014",68,28,96,918,334,32,10,42,292,0,251,178,0,178,73
FL-506,640,276,260,0,536,104,475,219,179,0,398,77,165,57,81,138,27,48,15,25,40,8,0,150,100,0,100,50
FL-507,4041,949,"1,096",20,"2,065","1,976","2,696",504,575,20,"1,099","1,597","1,345",445,521,966,379,447,148,173,321,126,20,"1,614",352,20,372,"1,242"
FL-508,1019,141,156,0,297,722,774,83,111,0,194,580,245,58,45,103,142,111,23,17,40,71,0,218,0,0,0,218
FL-509,2160,120,66,0,186,"1,974","1,101",30,0,0,30,"1,071","1,059",90,66,156,903,384,26,21,47,337,0,179,53,0,53,126
FL-510,3241,803,"1,266",0,"2,069","1,172","2,345",496,677,0,"1,173","1,172",896,307,589,896,0,237,92,145,237,0,0,998,803,0,803,195
FL-511,1160,150,392,0,542,618,755,79,249,0,328,427,405,71,143,214,191,175,27,41,68,107,0,282,159,0,159,123
FL-512,1252,138,63,0,201,"1,051","1,092",109,0,0,109,983,160,29,63,92,68,50,6,30,36,14,0,56,0,0,0,56
FL-513,1221,24,978,0,"1,002",219,881,16,655,0,671,210,340,8,323,331,9,109,2,104,106,3,0,112,81,0,81,31
FL-514,576,190,192,0,382,194,273,47,128,0,175,98,303,143,64,207,96,125,69,32,101,24,0,97,97,0,97,0
FL-515,326,80,144,0,224,102,207,56,79,0,135,72,119,24,65,89,30,40,9,23,32,8,0,94,52,0,52,42
FL-517,4220,16,85,0,101,"4,119",812,16,47,0,63,749,"3,408",0,38,38,"3,370","1,619",2,12,14,"1,605",0,329,12,0,12,317
FL-518,1114,114,51,0,165,949,724,42,43,0,85,639,390,72,8,80,310,159,32,3,35,124,0,298,76,0,76,222
FL-519,4527,"1,674",0,0,"1,674","2,853","1,312",549,0,0,549,763,"3,215","1,125",0,"1,125","2,090","1,286",450,0,450,836,0,995,378,0,378,617
FL-520,1385,150,140,5,295,"1,090",963,83,131,5,219,744,422,67,9,76,346,126,25,3,28,98,5,41,11,5,16,25
FL-600,3879,"1,477","1,616",27,"3,120",759,"2,562",973,803,27,"1,803",759,"1,317",504,813,"1,317",0,397,179,218,397,0,15,547,291,15,306,241
FL-601,3225,884,"1,541",0,"2,425",800,"2,575",658,"1,181",0,"1,839",736,650,226,360,586,64,206,61,128,189,17,0,377,171,0,171,206
FL-602,376,60,142,0,202,174,285,35,123,0,158,127,91,25,19,44,47,39,10,6,16,23,0,77,48,0,48,29
FL-603,944,173,288,0,461,483,720,88,259,0,347,373,224,85,29,114,110,55,24,9,33,22,0,189,53,0,53,136
FL-604,1040,186,138,0,324,716,838,136,90,0,226,612,202,50,48,98,104,81,15,14,29,52,0,289,164,0,164,125
FL-605,2147,445,295,0,740,"1,407","1,682",209,224,0,433,"1,249",465,236,71,307,158,138,69,20,89,49,0,417,79,0,79,338
FL-606,401,231,93,0,324,77,276,156,43,0,199,77,125,75,50,125,0,43,25,18,43,0,0,66,22,0,22,44
GA-500,7019,"2,357","2,498",0,"4,855","2,164","5,781","1,998","1,715",0,"3,713","2,068","1,238",359,783,"1,142",96,492,126,333,459,33,0,"1,649",947,0,947,702
GA-501,9750,972,971,0,"1,943","7,807","6,315",438,201,0,639,"5,676","3,435",534,770,"1,304","2,131","1,058",173,239,412,646,0,"1,221",116,0,116,"1,105"
GA-503,496,151,118,0,269,227,353,99,43,0,142,211,143,52,75,127,16,44,17,22,39,5,0,119,35,0,35,84
GA-504,556,236,276,0,512,44,405,193,191,0,384,21,151,43,85,128,23,51,10,24,34,17,0,142,142,0,142,0
GA-505,468,201,63,0,264,204,351,146,57,0,203,148,117,55,6,61,56,34,15,2,17,17,0,141,56,0,56,85
GA-506,470,104,240,0,344,126,266,54,89,0,143,123,204,50,151,201,3,70,18,51,69,1,0,104,7,0,7,97
GA-507,1077,282,277,0,559,518,906,218,170,0,388,518,171,64,107,171,0,63,22,41,63,0,0,259,192,0,192,67
GU-500,1635,56,126,0,182,"1,453",534,12,25,0,37,497,"1,101",44,101,145,956,172,10,22,32,140,0,28,1,0,1,27
HI-500,1663,212,526,0,738,925,935,72,116,0,188,747,728,140,410,550,178,195,42,106,148,47,0,249,22,0,22,227
HI-501,4171,782,"1,990",25,"2,797","1,374","1,954",390,341,25,756,"1,198","2,217",392,"1,649","2,041",176,569,109,418,527,42,19,552,55,19,74,478
IA-500,308,119,175,0,294,14,129,80,35,0,115,14,179,39,140,179,0,57,11,46,57,0,0,45,42,0,42,3
IA-501,1686,646,"1,007",0,"1,653",33,713,390,297,0,687,26,973,256,710,966,7,318,86,229,315,3,0,91,69,0,69,22
IA-502,1020,297,659,0,956,64,686,220,404,0,624,62,334,77,255,332,2,106,26,79,105,1,0,113,71,0,71,42
ID-500,872,499,248,0,747,125,645,379,153,0,532,113,227,120,95,215,12,73,37,32,69,4,0,37,21,0,21,16
ID-501,1474,297,520,0,817,657,800,153,146,0,299,501,674,144,374,518,156,214,51,122,173,41,0,74,16,0,16,58
IL-500,212,88,123,0,211,1,124,72,51,0,123,1,88,16,72,88,0,30,6,24,30,0,0,5,4,0,4,1
IL-501,739,206,406,0,612,127,326,89,137,0,226,100,413,117,269,386,27,110,29,72,101,9,0,235,189,0,189,46
IL-502,474,220,221,13,454,20,237,112,92,13,217,20,237,108,129,237,0,96,49,47,96,0,13,62,48,13,61,1
IL-503,534,404,126,0,530,4,209,128,77,0,205,4,325,276,49,325,0,124,111,13,124,0,0,47,47,0,47,0
IL-504,202,82,79,0,161,41,62,28,3,0,31,31,140,54,76,130,10,42,16,23,39,3,0,9,0,0,0,9
IL-506,389,135,223,0,358,31,187,112,49,0,161,26,202,23,174,197,5,66,8,56,64,2,0,85,74,0,74,11
IL-507,376,243,103,0,346,30,205,153,36,0,189,16,171,90,67,157,14,70,32,32,64,6,0,84,84,0,84,0
IL-508,514,132,88,0,220,294,297,56,26,0,82,215,217,76,62,138,79,96,31,31,62,34,0,36,6,0,6,30
IL-510,6240,"1,691","3,665",0,"5,356",884,"3,342","1,447","1,101",0,"2,548",794,"2,898",244,"2,564","2,808",90,883,75,786,861,22,0,689,416,0,416,273
IL-511,1390,463,662,14,"1,139",251,790,363,177,14,554,236,600,100,485,585,15,196,40,152,192,4,14,231,101,14,115,116
IL-512,639,206,190,23,419,220,365,158,65,23,246,119,274,48,125,173,101,92,16,38,54,38,5,86,50,5,55,31
IL-513,287,146,138,0,284,3,176,122,51,0,173,3,111,24,87,111,0,45,9,36,45,0,0,93,93,0,93,0
IL-514,712,185,419,0,604,108,361,144,118,0,262,99,351,41,301,342,9,120,14,103,117,3,0,148,49,0,49,99
IL-515,190,67,105,0,172,18,46,33,4,0,37,9,144,34,101,135,9,38,9,26,35,3,0,8,3,0,3,5
IL-516,197,70,70,5,145,52,118,64,13,5,82,36,79,6,57,63,16,25,2,17,19,6,5,51,29,5,34,17
IL-517,445,269,123,0,392,53,333,223,57,0,280,53,112,46,66,112,0,32,12,20,32,0,0,188,155,0,155,33
IL-518,392,150,235,0,385,7,177,83,87,0,170,7,215,67,148,215,0,72,23,49,72,0,0,34,27,0,27,7
IL-519,172,60,112,0,172,0,61,32,29,0,61,0,111,28,83,111,0,51,10,41,51,0,0,4,4,0,4,0
IL-520,291,164,84,0,248,43,152,95,25,0,120,32,139,69,59,128,11,41,19,19,38,3,0,35,19,0,19,16
IN-502,4958,"2,078","1,794",0,"3,872","1,086","2,658","1,211",726,0,"1,937",721,"2,300",867,"1,068","1,935",365,731,283,341,624,107,0,652,404,0,404,248
IN-503,1494,629,732,0,"1,361",133,930,307,492,0,799,131,564,322,240,562,2,182,102,79,181,1,0,123,74,0,74,49
KS-502,384,309,43,0,352,32,310,263,15,0,278,32,74,46,28,74,0,25,14,11,25,0,0,71,60,0,60,11
KS-503,356,240,97,0,337,19,228,180,29,0,209,19,128,60,68,128,0,32,20,12,32,0,0,7,2,0,2,5
KS-505,210,130,36,0,166,44,58,42,3,0,45,13,152,88,33,121,31,48,27,11,38,10,0,8,5,0,5,3
KS-507,859,461,339,0,800,59,593,291,256,0,547,46,266,170,83,253,13,85,53,28,81,4,0,77,68,0,68,9
KY-500,3446,"1,290","1,414",0,"2,704",742,"1,827",729,506,0,"1,235",592,"1,619",561,908,"1,469",150,492,171,276,447,45,0,316,138,0,138,178
KY-501,1626,978,472,10,"1,460",166,"1,241",797,268,10,"1,075",166,385,181,204,385,0,137,60,77,137,0,4,203,144,4,148,55
KY-502,1551,472,961,2,"1,435",116,"1,057",352,597,2,951,106,494,120,364,484,10,176,37,135,172,4,0,176,118,0,118,58
LA-500,731,240,298,0,538,193,383,126,141,0,267,116,348,114,157,271,77,114,39,53,92,22,0,36,21,0,21,15
LA-502,830,265,474,0,739,91,461,141,248,0,389,72,369,124,226,350,19,116,36,75,111,5,0,56,17,0,17,39
LA-503,8725,643,697,0,"1,340","7,385","7,957",526,337,0,863,"7,094",768,117,360,477,291,252,39,121,160,92,0,"4,579",146,0,146,"4,433"
LA-505,228,75,112,0,187,41,93,51,18,0,69,24,135,24,94,118,17,38,7,26,33,5,0,19,9,0,9,10
LA-506,357,49,146,0,195,162,167,34,48,0,82,85,190,15,98,113,77,70,5,37,42,28,0,24,2,0,2,22
LA-507,151,36,68,0,104,47,103,6,68,0,74,29,48,30,0,30,18,15,9,0,9,6,0,8,0,0,0,8
LA-509,1460,309,684,0,993,467,937,132,514,0,646,291,523,177,170,347,176,158,52,55,107,51,0,93,31,0,31,62
MA-500,5139,"3,629","1,250",5,"4,884",255,"2,371","1,317",794,5,"2,116",255,"2,768","2,312",456,"2,768",0,947,756,191,947,0,0,709,544,0,544,165
MA-501,1881,"1,407",401,5,"1,813",68,543,122,348,5,475,68,"1,338","1,285",53,"1,338",0,421,400,21,421,0,5,78,29,5,34,44
MA-502,464,360,79,0,439,25,154,64,65,0,129,25,310,296,14,310,0,102,97,5,102,0,0,168,157,0,157,11
MA-503,504,241,72,0,313,191,275,86,58,0,144,131,229,155,14,169,60,87,62,4,66,21,0,122,55,0,55,67
MA-504,886,643,227,6,876,10,308,194,98,6,298,10,578,449,129,578,0,188,139,49,188,0,6,87,74,6,80,7
MA-505,374,122,215,0,337,37,276,39,200,0,239,37,98,83,15,98,0,35,28,7,35,0,0,31,25,0,25,6
MA-506,1409,892,449,13,"1,354",55,482,303,117,13,433,49,927,589,332,921,6,319,199,118,317,2,0,86,60,0,60,26
MA-507,280,50,143,0,193,87,164,13,129,0,142,22,116,37,14,51,65,46,16,6,22,24,0,66,56,0,56,10
MA-508,526,249,236,0,485,41,179,33,105,0,138,41,347,216,131,347,0,111,60,51,111,0,0,20,7,0,7,13
MA-509,559,360,129,0,489,70,340,193,77,0,270,70,219,167,52,219,0,83,65,18,83,0,0,194,124,0,124,70
MA-510,997,748,157,6,911,86,340,177,71,6,254,86,657,571,86,657,0,231,190,41,231,0,6,174,121,6,127,47
MA-511,1186,"1,020",135,0,"1,155",31,366,297,38,0,335,31,820,723,97,820,0,289,252,37,289,0,0,153,140,0,140,13
MA-515,253,144,94,0,238,15,116,49,52,0,101,15,137,95,42,137,0,46,29,17,46,0,0,28,26,0,26,2
MA-516,1872,"1,396",435,0,"1,831",41,338,192,105,0,297,41,"1,534","1,204",330,"1,534",0,554,423,131,554,0,0,60,40,0,40,20
MA-517,142,108,30,0,138,4,81,53,24,0,77,4,61,55,6,61,0,24,21,3,24,0,0,24,20,0,20,4
MA-519,174,82,57,0,139,35,70,21,14,0,35,35,104,61,43,104,0,43,26,17,43,0,0,7,7,0,7,0
MD-500,107,53,39,0,92,15,49,26,11,0,37,12,58,27,28,55,3,17,8,8,16,1,0,10,7,0,7,3
MD-501,3419,896,"1,295",0,"2,191","1,228","2,484",664,"1,083",0,"1,747",737,935,232,212,444,491,359,93,70,163,196,0,853,625,0,625,228
MD-502,228,69,109,0,178,50,170,53,67,0,120,50,58,16,42,58,0,21,7,14,21,0,0,51,24,0,24,27
MD-503,395,188,78,0,266,129,262,120,13,0,133,129,133,68,65,133,0,39,19,20,39,0,0,67,50,0,50,17
MD-504,221,108,49,0,157,64,92,38,0,0,38,54,129,70,49,119,10,43,24,16,40,3,0,64,13,0,13,51
MD-505,891,452,137,0,589,302,449,181,45,0,226,223,442,271,92,363,79,142,86,32,118,24,0,139,83,0,83,56
MD-506,211,53,105,25,183,28,132,38,51,25,114,18,79,15,54,69,10,27,5,18,23,4,11,27,11,11,22,5
MD-507,173,64,82,0,146,27,90,32,37,0,69,21,83,32,45,77,6,36,15,19,34,2,0,40,25,0,25,15
MD-508,2560,314,222,0,536,"2,024",640,134,90,0,224,416,"1,920",180,132,312,"1,608",594,55,39,94,500,0,456,129,0,129,327
MD-509,303,84,168,0,252,51,192,73,68,0,141,51,111,11,100,111,0,39,4,35,39,0,0,90,66,0,66,24
MD-510,11,1,3,0,4,7,11,1,3,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,96,44,24,0,68,28,70,37,11,0,48,22,26,7,13,20,6,9,2,5,7,2,0,5,4,0,4,1
MD-512,137,99,11,0,110,27,60,42,11,0,53,7,77,57,0,57,20,28,21,0,21,7,0,19,15,0,15,4
MD-513,240,162,35,0,197,43,175,125,7,0,132,43,65,37,28,65,0,24,13,11,24,0,0,50,32,0,32,18
MD-600,789,420,243,0,663,126,431,284,21,0,305,126,358,136,222,358,0,101,34,67,101,0,0,124,35,0,35,89
MD-601,1064,504,347,32,883,181,692,323,156,32,511,181,372,181,191,372,0,124,59,65,124,0,4,184,97,4,101,83
ME-500,2379,854,"1,497",0,"2,351",28,"1,061",548,485,0,"1,033",28,"1,318",306,"1,012","1,318",0,447,105,342,447,0,0,226,221,0,221,5
MI-500,2953,913,"1,118",0,"2,031",922,"1,151",355,261,0,616,535,"1,802",558,857,"1,415",387,619,208,284,492,127,0,211,130,0,130,81
MI-501,2812,"1,640",893,17,"2,550",262,"2,434","1,401",754,17,"2,172",262,378,239,139,378,0,141,87,54,141,0,17,819,725,17,742,77
MI-502,458,147,290,15,452,6,153,70,62,15,147,6,305,77,228,305,0,82,22,60,82,0,9,39,28,9,37,2
MI-503,896,210,101,0,311,585,545,179,27,0,206,339,351,31,74,105,246,105,12,22,34,71,0,222,48,0,48,174
MI-504,731,129,322,0,451,280,492,66,184,0,250,242,239,63,138,201,38,78,16,50,66,12,0,38,24,0,24,14
MI-505,277,150,49,0,199,78,183,75,32,0,107,76,94,75,17,92,2,29,22,6,28,1,0,46,23,0,23,23
MI-506,585,296,279,0,575,10,228,205,13,0,218,10,357,91,266,357,0,118,27,91,118,0,0,32,22,0,22,10
MI-507,679,314,323,0,637,42,295,180,73,0,253,42,384,134,250,384,0,117,42,75,117,0,0,34,26,0,26,8
MI-508,535,221,171,0,392,143,389,176,76,0,252,137,146,45,95,140,6,45,14,30,44,1,0,129,64,0,64,65
MI-509,474,214,225,0,439,35,306,157,116,0,273,33,168,57,109,166,2,50,19,30,49,1,0,66,44,0,44,22
MI-510,305,111,167,0,278,27,176,61,88,0,149,27,129,50,79,129,0,43,22,21,43,0,0,71,57,0,57,14
MI-511,120,66,49,0,115,5,40,37,1,0,38,2,80,29,48,77,3,22,7,14,21,1,0,11,11,0,11,0
MI-512,296,108,177,0,285,11,127,79,37,0,116,11,169,29,140,169,0,60,7,53,60,0,0,29,24,0,24,5
MI-513,68,26,37,0,63,5,28,19,4,0,23,5,40,7,33,40,0,14,3,11,14,0,0,3,3,0,3,0
MI-514,186,73,60,0,133,53,136,38,50,0,88,48,50,35,10,45,5,13,9,3,12,1,0,12,12,0,12,0
MI-515,140,50,86,0,136,4,75,29,45,0,74,1,65,21,41,62,3,30,9,20,29,1,0,17,16,0,16,1
MI-516,646,187,138,0,325,321,308,44,88,0,132,176,338,143,50,193,145,135,56,20,76,59,0,21,15,0,15,6
MI-517,323,107,197,0,304,19,121,59,43,0,102,19,202,48,154,202,0,64,14,50,64,0,0,13,1,0,1,12
MI-518,121,85,23,0,108,13,46,32,1,0,33,13,75,53,22,75,0,23,17,6,23,0,0,4,3,0,3,1
MI-519,306,72,232,0,304,2,104,56,46,0,102,2,202,16,186,202,0,59,5,54,59,0,0,0,0,0,0,0
MI-523,147,67,64,0,131,16,28,16,4,0,20,8,119,51,60,111,8,33,14,16,30,3,0,7,7,0,7,0
MN-500,3056,"1,755","1,053",0,"2,808",248,"1,830","1,236",396,0,"1,632",198,"1,226",519,657,"1,176",50,411,162,227,389,22,0,779,699,0,699,80
MN-501,1424,496,822,10,"1,328",96,646,313,227,10,550,96,778,183,595,778,0,248,58,190,248,0,10,246,169,10,179,67
MN-502,419,208,198,0,406,13,103,73,17,0,90,13,316,135,181,316,0,98,45,53,98,0,0,70,61,0,61,9
MN-503,924,346,403,0,749,175,196,81,55,0,136,60,728,265,348,613,115,250,92,115,207,43,0,65,30,0,30,35
MN-504,208,25,64,0,89,119,87,17,6,0,23,64,121,8,58,66,55,46,3,17,20,26,0,34,4,0,4,30
MN-505,541,166,267,0,433,108,245,64,106,0,170,75,296,102,161,263,33,93,32,55,87,6,0,120,91,0,91,29
MN-506,422,76,178,0,254,168,119,41,38,0,79,40,303,35,140,175,128,101,11,49,60,41,0,33,14,0,14,19
MN-508,278,115,81,0,196,82,116,80,7,0,87,29,162,35,74,109,53,55,12,26,38,17,0,59,36,0,36,23
MN-509,524,150,256,0,406,118,240,86,64,0,150,90,284,64,192,256,28,92,21,62,83,9,0,79,32,0,32,47
MN-511,73,23,38,0,61,12,23,9,8,0,17,6,50,14,30,44,6,15,5,9,14,1,0,5,3,0,3,2
MO-500,659,284,124,0,408,251,208,78,14,0,92,116,451,206,110,316,135,137,63,33,96,41,0,39,23,0,23,16
MO-501,1305,575,577,16,"1,168",137,734,403,214,16,633,101,571,172,363,535,36,179,56,111,167,12,6,169,107,6,113,56
MO-503,1089,356,332,0,688,401,387,78,156,0,234,153,702,278,176,454,248,233,92,60,152,81,0,30,19,0,19,11
MO-600,662,161,342,0,503,159,428,79,190,0,269,159,234,82,152,234,0,92,34,58,92,0,0,144,81,0,81,63
MO-602,393,112,207,0,319,74,277,71,132,0,203,74,116,41,75,116,0,36,12,24,36,0,0,26,19,0,19,7
