State total rank per_capita per_capita_rank
Alabama $375,328,343 28 $78.33 38 
Alaska $267,847,800 32 $380.33 1 a 
Arizona $1,382,500,000 6 $214.48 7 
Arkansas 0 0 0 0
California $6,079,711,992 1 $162.00 14 ac 
Colorado $463,232,223 24 $91.16 31 a 
Connecticut $724,600,000 16 $202.44 9 ac 
Delaware $92,170,978 46 $101.94 28 a 
Florida $742,227,939 15 $39.04 48
Georgia $486,806,277 22 $50.00 47 b 
Hawaii $169,287,438 40 $126.63 20 
Idaho $49,900,000 51 $31.59 50 
Illinois $990,400,000 10 $77.19 39 
Indiana $481,840,000 23 $73.98 40 
Iowa $421,200,000 26 $137.52 19 
Kansas $393,700,000 27 $138.15 18 
Kentucky $238,500,000 34 $54.91 46 
Louisiana $308,156,455 30 $67.63 41
Maine $421,334,222 25 $317.47 2 b 
Maryland $1,002,700,000 9 $172.54 11 b 
Massachusetts $697,900,000 18 $105.73 26 a 
Michigan $1,154,800,000 7 $116.97 21
Minnesota $889,152,530 12 $166.43 12 
Mississippi $321,339,000 29 $108.51 24 
Missouri $527,297,527 21 $88.03 33 
Montana $164,232,452 41 $165.23 13 
Nebraska $154,183,798 42 $84.00 36 
Nevada $175,300,000 39 $64.73 43
New-Hampshire $186,418,807 38 $141.62 16 
New-Jersey $1,837,209,000 4 $208.19 8 b 
New-Mexico $285,500,000 31 $138.20 17 
New-York $5,055,600,000 2 $259.55 5 b 
North-Carolina $1,395,691,468 5 $146.16 15 b 
North-Dakota $59,496,345 50 $87.82 34 
Ohio $1,146,715,291 8 $99.44 29 
Oklahoma $209,310,000 35 $55.68 45 
Oregon $698,900,000 17 $180.82 10 
Pennsylvania $3,970,000,000 3 $311.67 3 a
Rhode-Island $108,219,007 45 $103.41 27 c 
South-Carolina $266,400,000 33 $57.50 44 
South-Dakota $72,262,472 48 $88.17 32 
Tennessee $544,900,000 20 $85.42 35 
Texas $965,200,000 11 $37.82 49 
Utah $187,500,000 37 $66.76 42 b 
Vermont $152,000,000 44 $242.84 6 
Virginia $754,000,000 13 $94.38 30 b 
Washington $751,000,000 14 $110.92 23 
West-Virginia $153,300,000 43 $82.71 37 ac 
Wisconsin $604,785,994 19 $105.97 25 b 
Wyoming $65,322,631 49 $115.85 22 a
